model,spec,dependent,treatment_spec,term,coef,std_err,t,p,r2,n
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,C(district)[T.kintampo_south],-0.22029135007189454,0.09567275765803021,-2.3025504382271205,0.021304150449743698,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,C(district)[T.nkoranza_south],-0.20167312990389016,0.11825639867425114,-1.7053887329971769,0.08812194827701834,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,C(district)[T.sene_west],-0.25286781852767454,0.02160316546605305,-11.705128071394348,1.1997794953396576e-31,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,C(district)[T.tain],-0.20560795701175683,0.08575658719127184,-2.397576253275658,0.016503945433031714,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,C(district)[T.techiman_north],-0.16058162826417063,0.10768282329079978,-1.4912464528397114,0.13589680177467142,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,log_dist_galamsey_min50px,0.0062050517503648385,0.03433730974778119,0.1807087333266054,0.856596203446155,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,age,-0.002003644835272514,0.0025729479979260065,-0.7787350684458472,0.4361357938356225,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,gender,0.012355443490650346,0.086450523311227,0.14291924464320496,0.8863539595702762,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,education,0.020536494783403955,0.02219727592257793,0.92518085800408,0.3548718388080434,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,num_plots,-0.0005648019976452097,0.031922261915254234,-0.017693044407210878,0.9858837295396017,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,owns_land,0.11231556632212136,0.07841236798776949,1.4323705456725906,0.1520378034079259,0.03522581324087737,409
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey_min50px,farm_exp,-0.000833081031436615,0.0026728966204894854,-0.3116772362426997,0.7552858296341329,0.03522581324087737,409
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,Intercept,2.388605398166523,0.2863364220381826,8.341954478456135,7.307258505767487e-17,0.07816759098299675,410
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,log_dist_galamsey_min50px,-0.11983170875799587,0.10484041659055081,-1.1429915356593139,0.253042105396619,0.07816759098299675,410
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,age,0.010562406566226309,0.005919972039529672,1.784198725213146,0.07439137939459019,0.07816759098299675,410
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,gender,-0.04466294639948348,0.08440790855527,-0.5291322479603714,0.5967137123304037,0.07816759098299675,410
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,education,-0.08464707124553995,0.02785051544060801,-3.03933589401791,0.00237100337896454,0.07816759098299675,410
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,num_plots,0.06778679443509394,0.04686476540485293,1.446434092852079,0.1480554852340669,0.07816759098299675,410
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,owns_land,0.29200143958710556,0.07800915492651929,3.743168860913264,0.00018171402408683051,0.07816759098299675,410
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey_min50px,farm_exp,-0.005597795905713195,0.0047206861626089315,-1.185801324826796,0.23570076821094066,0.07816759098299675,410
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,Intercept,9.549813974502705,0.26204851794895223,36.442923048177796,8.905345599527715e-291,0.005732040795329074,405
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,log_dist_galamsey_min50px,-0.02924302060572237,0.043994163085345865,-0.6647022821866796,0.5062409338451738,0.005732040795329074,405
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,age,-0.001764560377459215,0.0072027105095416885,-0.244985603006207,0.8064675788820694,0.005732040795329074,405
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,gender,-0.1190383078647626,0.10808111190944357,-1.1013793785217494,0.2707315765792847,0.005732040795329074,405
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,education,0.007961067819966375,0.03217828540777943,0.2474049726105576,0.8045948262008566,0.005732040795329074,405
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,num_plots,-0.025001054934195577,0.052828237830581985,-0.47325172977325014,0.6360335955876439,0.005732040795329074,405
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,owns_land,0.0021416003027432406,0.07864302377120044,0.02723191708617272,0.9782747589866851,0.005732040795329074,405
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey_min50px,farm_exp,0.0017896234444277825,0.007066848659095474,0.2532420787198302,0.8000811518773652,0.005732040795329074,405
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,Intercept,0.48160674607105397,0.12971912914472405,3.7126887086463447,0.00020506905288212232,0.01880485124069231,409
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,log_dist_galamsey_min50px,0.030880091461494397,0.02123241742782633,1.4543841541577938,0.14583983065436626,0.01880485124069231,409
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,age,-0.0019375048428507617,0.0027344943736562505,-0.7085422670883589,0.47860857398479717,0.01880485124069231,409
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,gender,0.018089347922293983,0.0865738293689502,0.20894706927197274,0.8344895590742744,0.01880485124069231,409
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,education,0.017089283000716375,0.020811291179240427,0.8211543845853826,0.4115583355316328,0.01880485124069231,409
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,num_plots,-0.002536720341540441,0.03350250596994946,-0.07571733122936497,0.9396439872486719,0.01880485124069231,409
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,owns_land,0.08998457040720341,0.07002482938771772,1.2850380528451042,0.19877898690911922,0.01880485124069231,409
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey_min50px,farm_exp,-0.0009549087569275687,0.0028842155871248235,-0.3310809223798297,0.7405833615161381,0.01880485124069231,409
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,Intercept,1.7714407035957682,0.20784853204530893,8.522748205936868,1.5581127492865627e-17,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.brekum_west],0.4919764529513162,0.09795488584355498,5.022479978559295,5.100851598822956e-07,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.jaman_south],1.1094006152741356,0.058951215436217945,18.818960848643528,5.2810153964687233e-79,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.kintampo_north],0.6738113113745141,0.10546226877172245,6.389122092878613,1.6684081216124805e-10,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.kintampo_south],0.7062092276801959,0.06232682185820856,11.330743436377976,9.241696364322023e-30,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.nkoranza_south],0.3755010695472692,0.05370334262993029,6.992135892449878,2.7073244706507372e-12,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.sene_west],0.6500612426130074,0.01890135731338599,34.39230484006735,3.2862764108400654e-259,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.tain],0.8761504440659427,0.03769993081059827,23.240107481036485,1.7910719306749782e-119,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,C(district)[T.techiman_north],0.34403609963252424,0.1617672690760583,2.1267349173754577,0.03344211456958342,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,galamsey_area_5km_ha,0.019201445740076917,0.006861695387931791,2.79835298049634,0.0051363946695228944,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,age,0.009338782358684294,0.005487357480973376,1.701872420571319,0.08877928681844298,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,gender,-0.007748603411843056,0.08167054593321091,-0.09487635136147812,0.9244130406496051,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,education,-0.09822828085075219,0.02760311794522156,-3.558593672123794,0.0003728458194377229,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,num_plots,0.03863563420324224,0.028466363714020337,1.3572381281776886,0.17470555944006516,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,owns_land,0.21561263311848283,0.0856366024973702,2.51776257850846,0.011810290145350417,0.1757785501433411,410
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,farm_exp,-0.006080874763161901,0.0042070526638535695,-1.4454002003369149,0.14834550718055772,0.1757785501433411,410
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,Intercept,9.553289798321144,0.2855420771986702,33.45667963210304,2.0579443209117607e-245,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.brekum_west],-0.20706874074553738,0.10187212677588857,-2.0326339235174102,0.0420895215457319,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.jaman_south],-0.5018620405658094,0.10552427771252704,-4.755891738325845,1.9757233460065156e-06,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.kintampo_north],-0.24262369905144343,0.08642946126736478,-2.8071874508265227,0.004997615087728198,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.kintampo_south],-0.040532956527834396,0.10075476168847407,-0.4022932102520292,0.6874682509649557,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.nkoranza_south],-0.23933555930211398,0.0776801325877344,-3.0810395313344867,0.002062792601112682,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.sene_west],-0.3466667400937692,0.03155757316034929,-10.985215445189581,4.501632298560674e-28,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.tain],-0.21039112880651345,0.07055253912077249,-2.982049001048197,0.0028632616675630506,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,C(district)[T.techiman_north],-0.11754433176292017,0.18800565507302408,-0.6252170006123714,0.5318286454938553,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,galamsey_area_5km_ha,0.01103828690884047,0.006857509970412506,1.6096639970581732,0.10747122878394533,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,age,-0.002031814684408181,0.008120282941631937,-0.25021476456088193,0.8024212678773774,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,gender,-0.10905188202088856,0.11080871188736294,-0.9841453813824657,0.3250440363368883,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,education,0.004691522608205323,0.038600454022288996,0.1215406068927662,0.9032628534359461,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,num_plots,0.0020438611296630382,0.05783424421541675,0.035339981656027426,0.9718086424779789,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,owns_land,0.004782848028884179,0.07011068642595203,0.06821853090734781,0.9456116758031313,0.030661501040522565,405
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,farm_exp,0.002685450770298109,0.007399228672638187,0.3629365828669023,0.7166522581469152,0.030661501040522565,405
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,Intercept,0.6311341867709682,0.12851923663968226,4.910814935358058,9.069865800372027e-07,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.brekum_west],0.018120769910520917,0.0677377049957377,0.2675137858842596,0.7890736012317954,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.jaman_south],0.012063492278435617,0.0415585215850774,0.290277223980155,0.7716041617064991,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.kintampo_north],0.03089410150324201,0.06932473928723766,0.4456432410836266,0.655854970232647,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.kintampo_south],-0.09561026038979994,0.055708155259348906,-1.7162704445100916,0.08611255514768149,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.nkoranza_south],-0.1210857966891831,0.039484395539385944,-3.0666746960428766,0.0021645428238131386,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.sene_west],-0.25659713615680735,0.012466723046023195,-20.5825648977307,3.933098105570015e-94,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.tain],-0.18699371510850404,0.025659033613158647,-7.287636702444187,3.1543918126701466e-13,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,C(district)[T.techiman_north],0.12650028697921398,0.11872692265071554,1.0654726337965232,0.2866621031725133,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,galamsey_area_5km_ha,-0.01367702434760051,0.005598601069605335,-2.4429360437650636,0.014568318757563486,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,age,-0.001657925077071169,0.002445475546907598,-0.6779561051704982,0.49779952498296975,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,gender,0.0041965359046959505,0.0860359815982222,0.04877652148252662,0.9610973930407665,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,education,0.021054808676203823,0.021654589752963298,0.972302357901867,0.33090015116101,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,num_plots,-0.005826917087083354,0.03018701055422906,-0.1930272981690474,0.8469375892597379,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,owns_land,0.12901177063913177,0.07760438081523327,1.662428967074595,0.09642679485868583,0.05213719648233872,409
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,farm_exp,-0.0010860643586746515,0.00270201487971613,-0.40194610578486223,0.6877236901418817,0.05213719648233872,409
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,Intercept,2.1061102351587655,0.30301983363219265,6.950403905624129,3.642418387038963e-12,0.08399921481709849,410
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,galamsey_area_5km_ha,0.019440372000945356,0.011258978456694473,1.7266550491875494,0.08422963307309726,0.08399921481709849,410
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,age,0.010379275736015828,0.006173153964222559,1.6813570172023053,0.09269358911722839,0.08399921481709849,410
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,gender,-0.037329100141684585,0.07949765598752595,-0.4695622742328645,0.6386677831858797,0.08399921481709849,410
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,education,-0.08526880178383373,0.025287689825719706,-3.37194905392695,0.0007463825352697171,0.08399921481709849,410
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,num_plots,0.0813715286075335,0.05537335912767248,1.4695068149995725,0.14169537472192514,0.08399921481709849,410
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,owns_land,0.26764413123757747,0.08498843933419924,3.149182798675982,0.0016372774516240456,0.08399921481709849,410
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,farm_exp,-0.005461552245019902,0.004861687103473831,-1.123386209103718,0.26127350432556506,0.08399921481709849,410
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,Intercept,9.418845836235892,0.3091327678692204,30.46861030345565,6.79161941125993e-204,0.013902787116045867,405
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,galamsey_area_5km_ha,0.011977470282458469,0.004456711723122872,2.6875129078498508,0.007198631997153736,0.013902787116045867,405
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,age,-0.0018137247288360567,0.007360049795795448,-0.24642832306272947,0.8053506834843523,0.013902787116045867,405
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,gender,-0.1055173696393823,0.10934196163475866,-0.9650217360453814,0.33453392491122647,0.013902787116045867,405
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,education,0.004095595720521622,0.033067688480113454,0.12385491423099224,0.9014301512279084,0.013902787116045867,405
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,num_plots,-0.02124660453728644,0.05320712840310308,-0.39931876000373145,0.6896583458086469,0.013902787116045867,405
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,owns_land,0.0044881635515459095,0.06459400061602671,0.06948266880426555,0.944605427600069,0.013902787116045867,405
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,farm_exp,0.0015057369671780734,0.00701588132808142,0.21461836321992578,0.8300648757574287,0.013902787116045867,405
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,Intercept,0.5638702934690949,0.09790397475253776,5.7594218712195735,8.4402514364444e-09,0.02360794702512492,409
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,galamsey_area_5km_ha,-0.006167259769807564,0.0025749250885674993,-2.3951220162442,0.016614835182556107,0.02360794702512492,409
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,age,-0.001877767624321907,0.0027087509705678654,-0.6932226862952446,0.48816981325833086,0.02360794702512492,409
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,gender,0.01440199719691426,0.08776599703060044,0.1640954092037816,0.8696560357513536,0.02360794702512492,409
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,education,0.017787803675412158,0.02018654456997923,0.8811712977299542,0.37822511189112085,0.02360794702512492,409
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,num_plots,-0.0060782873010585756,0.03482690457158369,-0.17452849674208576,0.8614501372652603,0.02360794702512492,409
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,owns_land,0.09499348574591684,0.07809068948038075,1.2164508519262427,0.22381322257644087,0.02360794702512492,409
